step,res_total,res_max,dt
302,4.29318362e-03,2.45480242e-03,8.13383300e-13
303,4.28641447e-03,2.44959093e-03,8.13647887e-13
304,4.27965893e-03,2.44438990e-03,8.13912169e-13
305,4.27291699e-03,2.43919933e-03,8.14176147e-13
306,4.26618862e-03,2.43401918e-03,8.14439821e-13
307,4.25947378e-03,2.42884943e-03,8.14703191e-13
308,4.25277245e-03,2.42369007e-03,8.14966256e-13
309,4.24608460e-03,2.41854108e-03,8.15229016e-13
310,4.23941021e-03,2.41340242e-03,8.15491472e-13
311,4.23274925e-03,2.40827409e-03,8.15753623e-13
312,4.22610169e-03,2.40315607e-03,8.16015468e-13
313,4.21946750e-03,2.39804832e-03,8.16277009e-13
314,4.21284665e-03,2.39295083e-03,8.16538245e-13
315,4.20623913e-03,2.38786359e-03,8.16799176e-13
316,4.19964489e-03,2.38278657e-03,8.17059802e-13
317,4.19306392e-03,2.37771974e-03,8.17320122e-13
318,4.18649619e-03,2.37266310e-03,8.17580137e-13
319,4.17994167e-03,2.36761661e-03,8.17839846e-13
320,4.17340033e-03,2.36258026e-03,8.18099250e-13
321,4.16687215e-03,2.35755403e-03,8.18358349e-13
322,4.16035709e-03,2.35253790e-03,8.18617142e-13
323,4.15385514e-03,2.34753185e-03,8.18875628e-13
324,4.14736627e-03,2.34253585e-03,8.19133810e-13
325,4.14089045e-03,2.33754989e-03,8.19391685e-13
326,4.13442765e-03,2.33257395e-03,8.19649254e-13
327,4.12797784e-03,2.32760801e-03,8.19906518e-13
328,4.12154101e-03,2.32265205e-03,8.20163475e-13
329,4.11511712e-03,2.31770604e-03,8.20420126e-13
330,4.10870615e-03,2.31276997e-03,8.20676471e-13
331,4.10230807e-03,2.30784382e-03,8.20932509e-13
332,4.09592285e-03,2.30292757e-03,8.21188242e-13
333,4.08955047e-03,2.29802120e-03,8.21443668e-13
334,4.08319091e-03,2.29312468e-03,8.21698787e-13
335,4.07684413e-03,2.28823801e-03,8.21953600e-13
336,4.07051011e-03,2.28336115e-03,8.22208106e-13
337,4.06418882e-03,2.27849409e-03,8.22462306e-13
338,4.05788025e-03,2.27363682e-03,8.22716199e-13
339,4.05158435e-03,2.26878930e-03,8.22969786e-13
340,4.04530112e-03,2.26395153e-03,8.23223065e-13
341,4.03903051e-03,2.25912347e-03,8.23476038e-13
342,4.03277251e-03,2.25430512e-03,8.23728704e-13
343,4.02652709e-03,2.24949646e-03,8.23981063e-13
344,4.02029422e-03,2.24469745e-03,8.24233115e-13
345,4.01407388e-03,2.23990809e-03,8.24484860e-13
346,4.00786604e-03,2.23512836e-03,8.24736298e-13
347,4.00167068e-03,2.23035823e-03,8.24987429e-13
348,3.99548777e-03,2.22559769e-03,8.25238252e-13
349,3.98931729e-03,2.22084671e-03,8.25488769e-13
350,3.98315921e-03,2.21610529e-03,8.25738978e-13
351,3.97701351e-03,2.21137339e-03,8.25988880e-13
352,3.97088015e-03,2.20665100e-03,8.26238475e-13
353,3.96475913e-03,2.20193811e-03,8.26487762e-13
354,3.95865040e-03,2.19723468e-03,8.26736742e-13
355,3.95255395e-03,2.19254071e-03,8.26985415e-13
356,3.94646974e-03,2.18785618e-03,8.27233780e-13
357,3.94039777e-03,2.18318106e-03,8.27481838e-13
358,3.93433799e-03,2.17851534e-03,8.27729588e-13
359,3.92829039e-03,2.17385899e-03,8.27977031e-13
360,3.92225494e-03,2.16921201e-03,8.28224166e-13
361,3.91623162e-03,2.16457436e-03,8.28470994e-13
362,3.91022040e-03,2.15994604e-03,8.28717514e-13
363,3.90422125e-03,2.15532702e-03,8.28963726e-13
364,3.89823416e-03,2.15071728e-03,8.29209631e-13
365,3.89225909e-03,2.14611682e-03,8.29455228e-13
366,3.88629603e-03,2.14152560e-03,8.29700517e-13
367,3.88034495e-03,2.13694360e-03,8.29945499e-13
368,3.87452497e-03,2.13237082e-03,8.30190173e-13
369,3.86881278e-03,2.12780723e-03,8.30434539e-13
370,3.86310669e-03,2.12324432e-03,8.30678598e-13
371,3.85730120e-03,2.11851467e-03,8.30922347e-13
372,3.85144481e-03,2.11369496e-03,8.31165768e-13
373,3.84560067e-03,2.10888546e-03,8.31408849e-13
374,3.83976877e-03,2.10408615e-03,8.31651588e-13
375,3.83394907e-03,2.09929701e-03,8.31893988e-13
376,3.82814154e-03,2.09451801e-03,8.32136047e-13
377,3.82234617e-03,2.08974914e-03,8.32377766e-13
378,3.81656293e-03,2.08499037e-03,8.32619144e-13
379,3.81079178e-03,2.08024168e-03,8.32860182e-13
380,3.80503272e-03,2.07550305e-03,8.33100880e-13
381,3.79928570e-03,2.07077446e-03,8.33341238e-13
382,3.79355070e-03,2.06605588e-03,8.33581255e-13
383,3.78782770e-03,2.06134731e-03,8.33820933e-13
384,3.78211667e-03,2.05664871e-03,8.34060270e-13
385,3.77641759e-03,2.05196007e-03,8.34299268e-13
386,3.77073043e-03,2.04728135e-03,8.34537925e-13
387,3.76505516e-03,2.04261256e-03,8.34776242e-13
388,3.75939176e-03,2.03795365e-03,8.35014220e-13
389,3.75374021e-03,2.03330462e-03,8.35251858e-13
390,3.74810048e-03,2.02866544e-03,8.35489155e-13
391,3.74247254e-03,2.02403608e-03,8.35726114e-13
392,3.73685636e-03,2.01941654e-03,8.35962732e-13
393,3.73125194e-03,2.01480679e-03,8.36199011e-13
394,3.72565922e-03,2.01020680e-03,8.36434950e-13
395,3.72007821e-03,2.00561656e-03,8.36670550e-13
396,3.71450886e-03,2.00103605e-03,8.36905810e-13
397,3.70895115e-03,1.99646525e-03,8.37140731e-13
398,3.70340506e-03,1.99190413e-03,8.37375312e-13
399,3.69787056e-03,1.98735268e-03,8.37609555e-13
400,3.69234763e-03,1.98281088e-03,8.37843458e-13
401,3.68683625e-03,1.97827870e-03,8.38077021e-13
402,3.68133638e-03,1.97375613e-03,8.38310246e-13
403,3.67584801e-03,1.96924314e-03,8.38543132e-13
404,3.67037111e-03,1.96473972e-03,8.38775679e-13
405,3.66490565e-03,1.96024584e-03,8.39007886e-13
406,3.65945162e-03,1.95576148e-03,8.39239755e-13
407,3.65400898e-03,1.95128664e-03,8.39471286e-13
408,3.64857771e-03,1.94682127e-03,8.39702477e-13
409,3.64315779e-03,1.94236537e-03,8.39933330e-13
410,3.63774919e-03,1.93791892e-03,8.40163845e-13
411,3.63235189e-03,1.93348189e-03,8.40394021e-13
412,3.62696586e-03,1.92905427e-03,8.40623859e-13
413,3.62159109e-03,1.92463603e-03,8.40853358e-13
414,3.61622754e-03,1.92022716e-03,8.41082519e-13
415,3.61087520e-03,1.91582764e-03,8.41311342e-13
416,3.60553403e-03,1.91143744e-03,8.41539827e-13
